price,area,mainroad,neighborhood,airconditioning,stories
13300000,7420,yes,A,yes,3
12250000,8960,yes,A,yes,4
12250000,9960,yes,B,no,2
12215000,7500,yes,A,yes,2
11410000,7420,yes,A,yes,2
10850000,7500,yes,B,yes,1
10150000,8580,yes,B,yes,4
10150000,16200,yes,C,no,2
9870000,8100,yes,A,yes,2
9800000,5750,yes,C,yes,4
9800000,13200,yes,A,yes,2
9681000,6000,yes,B,no,2
9310000,6550,yes,B,yes,2
9240000,3500,yes,A,no,2
9240000,7800,yes,B,no,2
9100000,6000,yes,B,no,2
9100000,6600,yes,C,yes,2
8960000,8500,yes,A,yes,4
8890000,4600,yes,A,yes,2
8855000,6420,yes,B,yes,2
8750000,4320,yes,B,no,2
8680000,7155,yes,C,yes,1
8645000,8050,yes,A,yes,1
8645000,4560,yes,A,yes,2
8575000,8800,yes,A,yes,2
8540000,6540,yes,A,yes,2
8463000,6000,yes,B,yes,4
8400000,8875,yes,B,no,1
8400000,7950,yes,C,no,2
8400000,5500,yes,B,yes,2
8400000,7475,yes,C,yes,4
8400000,7000,yes,B,yes,4
8295000,4880,yes,A,yes,2
8190000,5960,yes,C,no,2
8120000,6840,yes,A,yes,2
8080940,7000,yes,A,yes,4
8043000,7482,yes,A,no,3
7980000,9000,yes,A,yes,4
7962500,6000,yes,C,yes,4
7910000,6000,yes,B,yes,4
7875000,6550,yes,A,yes,2
7840000,6360,yes,A,yes,4
7700000,6480,yes,C,yes,4
7700000,6000,yes,B,no,4
7560000,6000,yes,A,yes,4
7560000,6000,yes,B,yes,3
7525000,6000,yes,A,yes,4
7490000,6600,yes,A,yes,4
7455000,4300,yes,C,no,2
7420000,7440,yes,B,yes,1
7420000,7440,yes,C,no,4
7420000,6325,yes,C,yes,4
7350000,6000,yes,A,yes,4
7350000,5150,yes,B,yes,4
7350000,6000,yes,B,yes,2
7350000,6000,yes,C,yes,2
7343000,11440,yes,B,no,2
7245000,9000,yes,A,yes,4
7210000,7680,yes,B,yes,4
7210000,6000,yes,A,yes,4
7140000,6000,yes,B,no,2
7070000,8880,yes,B,yes,1
7070000,6240,yes,A,yes,2
7035000,6360,yes,A,yes,3
7000000,11175,yes,A,yes,1
6930000,8880,yes,A,yes,2
6930000,13200,yes,A,no,1
6895000,7700,yes,C,no,1
6860000,6000,yes,A,yes,1
6790000,12090,yes,A,no,2
6790000,4000,yes,B,yes,2
6755000,6000,yes,C,yes,4
6720000,5020,yes,C,yes,4
6685000,6600,yes,A,no,4
6650000,4040,yes,A,no,2
6650000,4260,yes,B,no,2
6650000,6420,yes,A,yes,3
6650000,6500,yes,A,yes,3
6650000,5700,yes,A,yes,1
6650000,6000,yes,A,yes,3
6629000,6000,yes,B,no,2
6615000,4000,yes,B,yes,2
6615000,10500,yes,A,yes,1
6580000,6000,yes,B,yes,4
6510000,3760,yes,B,no,2
6510000,8250,yes,A,yes,3
6510000,6670,yes,C,no,3
6475000,3960,yes,B,no,1
6475000,7410,yes,C,yes,1
6440000,8580,yes,A,no,2
6440000,5000,yes,B,yes,2
6419000,6750,yes,A,no,1
6405000,4800,yes,A,yes,4
6300000,7200,yes,B,yes,1
6300000,6000,yes,B,no,4
6300000,4100,yes,B,yes,3
6300000,9000,yes,A,no,1
6300000,6400,yes,B,yes,1
6293000,6600,yes,C,yes,3
6265000,6000,yes,C,no,3
6230000,6600,yes,C,yes,1
6230000,5500,yes,C,no,3
6195000,5500,yes,B,yes,4
6195000,6350,yes,A,yes,3
6195000,5500,yes,A,no,1
6160000,4500,yes,C,yes,4
6160000,5450,yes,B,yes,1
6125000,6420,yes,C,no,3
6107500,3240,yes,B,no,3
6090000,6615,yes,B,no,2
6090000,6600,yes,B,no,1
6090000,8372,yes,C,yes,3
6083000,4300,yes,A,no,2
6083000,9620,yes,A,no,1
6020000,6800,yes,A,no,1
6020000,8000,yes,B,yes,1
6020000,6900,yes,C,no,1
5950000,3700,yes,A,yes,2
5950000,6420,yes,A,yes,1
5950000,7020,yes,B,yes,1
5950000,6540,yes,A,no,1
5950000,7231,yes,B,yes,2
5950000,6254,yes,B,no,1
